page_path,tot,money_diff%,early_diff%,services_diff%,scaleups_diff%,others_diff%
/articles/secondaries-in-klarna-tioex/,276,0.1148498091,0.1658745526,-0.1683351841,0.3310472423,-0.3125637515
/articles/checkout-ceo-ipo/,273,-0.2711414142,0.8858981774,-0.0390811546,1.766107944,-0.2458613799
/articles/climentum-launch-climate-fund/,273,0.2097549723,-0.1749195474,-0.279310866,-0.4766822808,-0.1275651258
/articles/five-2022-european-tech-myths-debunked/,270,-0.2022630255,1.175003749,0.2144946518,-0.2440966278,-0.2225307298
/articles/startup-managers-good-bad/,270,-0.2934329654,0.6387014545,1.307539838,0.738577756,-0.372044051
/articles/esg-reckoning-vc/,269,0.2658725862,-0.2523666902,-0.2685942989,-0.1654152359,-0.2646612493
/articles/gohenry-series-b-italy-losses/,266,-0.1517082656,0.6331009711,0.5204011995,0.3043595783,-0.2715441193
/articles/digital-nomads-sardinia-scheme/,265,-0.07883956908,0.244626079,0.2374096453,0.3862982599,-0.1316943347
/articles/global-founders-capital-staff-cuts/,265,0.4630195079,-0.2410816592,-0.5875301182,0.07823197996,-0.5886973164
/articles/working-with-angels/,265,-0.2413972922,1.732106027,0.3611506098,-0.38386744,-0.4515964219
/articles/europes-top-metaverse-investors/,263,-0.09523367586,0.6823170826,0.371501565,-0.767193258,-0.1404405261
/articles/energy-impact-partners-european-fund/,261,0.108186339,-0.01369693021,0.6332859111,-0.3744247954,-0.3658572929
/articles/europes-top-fintech-angel-investors-2022/,261,0.05316999588,0.1712348954,0.8008024148,-0.6090154971,-0.3658572929
/articles/creator-ventures-raise/,260,0.2465736019,-0.1955465587,0.5975275805,-0.6075117106,-0.4876293493
/articles/downturn-interview-questions-startup/,260,-0.1715808342,0.8873715353,0.3452863836,0.1774648682,-0.2702599824
/articles/top-us-debt-investors-europe-startups/,260,-0.03745582638,0.113858611,0.555487381,-0.3720187369,-0.1149961488
/articles/traditional-bankers-fintech/,260,-0.1084631835,0.6707879165,0.2191657851,0.5699531576,-0.3168391324
/articles/dach-unicorn-founders/,259,0.02962190861,0.4287590077,0.2238729889,0.4184132775,-0.4388920919
/articles/algae-micro-startups-climate-food/,258,0.1290230935,-0.2516712174,-0.02557987237,-0.6835753326,0.01703828947
/articles/gen-z-founders-vcs/,258,0.001809223783,-0.06458902175,0.7793758852,-0.5253629989,-0.1550758826
/articles/klarna-valuation-fall-tech/,257,0.06956174679,0.06425747097,-0.2344430599,0.5088654861,-0.1832034905
/articles/private-markets-bunch-seed/,257,0.189288808,-0.1861560516,0.488582939,-0.5235161623,-0.3559873675
/articles/gourmey-e48m-cultivated-meat-hub/,255,0.07795046637,0.6089068826,0.07161292808,0.04047875937,-0.4934136882
/articles/barclays-tech-nation-grant-fintech/,254,-0.3054573473,0.5202269757,0.9364973779,0.205278999,-0.04641110109
/articles/carbon-capture-startups-2022-brnd/,254,-0.09547933601,0.2668558131,-0.09630122364,-0.5178884004,0.1919861236
/articles/tilt-gen-z-social-shopping-seed-3m/,254,0.1064225979,0.5202269757,0.07583187661,-0.2768326006,-0.443739809
/articles/point-nine-raised-seed-fund-news/,253,0.1837677973,0.4308460418,-0.1791360258,-0.03196564194,-0.5053650204
/articles/cazoo-layoffs-european-union/,252,-0.104580947,0.6919060472,0.6482427418,0.8627618815,-0.5514600364
/articles/female-founders-raises-20m-fund/,251,-0.1337039571,1.307595529,0.1757856589,-0.5934384253,-0.3405926432
/articles/europe-deeptech-startup-scaling-problem/,250,0.1897677162,0.09405668016,0.09304518664,-0.6734497432,-0.3218075751
/articles/felix-capital-600m-fund/,250,0.1159200649,0.5123724696,0.005601571709,0.06128833456,-0.4994294007
/articles/vertical-farming-recession-profitability/,249,0.2439753854,-0.06308635351,-0.03425726482,-0.5082074446,-0.3352961986
/articles/solar-energy-investment-europe-panels/,248,0.042204757,0.03800444038,-0.3388839597,-0.09474475185,0.04177023794
/articles/scale-funding-economy-slowdown-layoffs-unstable/,246,-0.2995480224,1.452601955,0.7328765154,-0.4192449701,-0.3271900547
/articles/trans-woman-ceo/,246,0.05901668043,0.2753530167,0.02195281678,0.3274400682,-0.3271900547
/articles/climate-tech-soonicorns-startups/,243,0.1565075715,-0.03995268323,0.2144946518,-0.4960644185,-0.2690459853
/articles/kry-raises-160m/,243,0.2155991992,-0.07305776312,0.3944197854,-0.1601073642,-0.5016222627
/articles/casavo-r400m-series-d/,242,0.1104272644,-0.1689530565,0.1291789118,0.2650448997,-0.2326630375
/articles/b2b-software-startup-marketing/,241,-0.2424572418,1.904043543,0.1792188736,0.1009215089,-0.5644881682
/articles/best-uk-startups-for-digital-nomads/,241,-0.3105509728,0.5688511096,0.5874100221,1.371215558,-0.1624772465
/articles/five-bootstrapped-startups-europe/,240,-0.1367346312,0.474831309,1.095003274,-0.319686965,-0.310369806
/articles/multiverse-euan-blair-edtech-unicorn/,239,-0.1331226422,0.1107516135,0.3262891386,0.7932937742,-0.07101555664
/articles/venture-capital-queer-lgbtq/,239,0.2016121792,-0.1585215049,1.012300762,-1,-0.4932812127
/articles/current-market-vc-lawyer-founder-brnd/,237,-0.05656422908,0.731102342,0.1530012517,-1,-0.114275515
/articles/digital-nomads-avoid-taxes/,237,-0.2642932062,1.274193273,0.2452413519,1.75569837,-0.5571377575
/articles/facebook-metaverse-herman-narula/,237,-0.2642932062,1.24025009,0.1991213018,-0.05272868548,-0.1653750045
/articles/germany-pledges-30bn-for-startups/,237,0.05595563351,0.05223867849,0.06076115159,-1,0.03902295356
/articles/women-startup-cpos-product-europe/,237,-0.1431179695,0.05223867849,1.813323054,0.808427055,-0.5741709207
/articles/carl-pei-nothing-brunch/,236,0.01696977499,0.977046593,0.01894042822,0.1242461171,-0.5552612226
/articles/sequoia-accelerator-fides-seed/,236,-0.05256661988,1.317916695,0.06525590223,0.2972070582,-0.6407879105
/articles/fintech-acquisitions-sifted-summit/,235,-0.1445543933,-0.07573434404,0.4418893951,0.5632725059,0.0478657021
/articles/french-family-resonance-fund/,235,0.09985863717,0.9512274959,-0.1627738996,-1,-0.415943707
/articles/how-recession-proof-is-climate-tech/,235,-0.004889804461,0.3008183306,0.06978890607,-0.3052122196,-0.1067374343
/articles/mentimeter-bootstrapped-funding/,235,-0.2493028349,0.02696183995,-0.5813869498,-0.04466680195,0.7006345001
/articles/cera-biggest-elderly-care-round/,234,0.1045588878,0.1688639745,0.3079173173,-1,-0.2064292952
/articles/european-electric-boat-startups/,234,-0.02693621793,0.03135056576,0.961875976,-0.3022430411,-0.2581839064
/articles/future-unicorns-founders-women/,234,-0.2723937485,-0.003027786429,1.242143973,1.703808216,-0.2581839064
/articles/sequoia-arc-startup-accelerator-programme/,231,0.2787472096,0.009919904657,-0.2902303983,-0.4698859468,-0.3534034292
/articles/startup-m-a-strategy/,231,-0.05869997073,0.5322922691,0.2775852831,0.6786945019,-0.3883545951
/articles/exit-startup-how-it-feels/,230,-0.3132525176,1.623217743,0.2356162979,0.5972566908,-0.4032468311
/articles/babylon-delist-or-stay-trading/,229,-0.04152126458,0.6861906193,0.2410120023,0.7824795676,-0.5064101711
/articles/uk-startups-to-watch-2022/,229,-0.1042254809,-0.08664674787,0.1455495406,1.406347416,-0.08333317491
/articles/gorillas-raising-250m/,228,0.06164995854,0.4113218268,0.1026333023,1.148356953,-0.5927729278
/articles/klarna-bnpl-economic-downturn/,228,0.2955728308,-0.1884899496,-0.5205942164,-0.6419405079,-0.1678403308
